"","lion","period","mean_NP","mean_otherPA","mean_nonPA","n"
"1","Backpans","after",0.831874541,0.168125459,0,6
"2","Backpans","before",0.78075283,0.21924717,0,13
"3","Bhubesi","after",0.959883911,0.040116089,0,5
"4","Bhubesi","before",0.4777385505,0.4235015655,0.08715,4
"5","Cecil","after",0.852260048,0.106905048,0,5
"6","Cecil","before",0.961865005,0.038134995,0,4
"7","Chikarubi","after",0.005181369,0.893084201,0.102,1
"8","Chikarubi","before",0.0142217175,0.793214822,0.19235,2
"9","Daniel","after",1,0,0,2
"10","Daniel","before",1,0,0,4
"11","Frisky","after",0,0.908971722,0.0301,5
"12","Frisky","before",0.035710832,0.913707528,0.0506,2
"13","Goose","after",0.986132865,0.0097083055,0.00416,2
"14","Goose","before",1,0,0,8
"15","Inkosikasi","after",0.681630499,0.318369501,0,1
"16","Inkosikasi","before",0.6703337545,0.3296662455,0,6
"17","Jericho","after",0.839456882,0.040295738,0,7
"18","Kakori","after",1,0,0,5
"19","Kakori","before",0.7043350635,0.202156582,0.0933,2
"20","Lucky","after",0.969273387,0.030726613,0,5
"21","Lucky","before",0.633306162,0.3619809195,3.085e-06,4
"22","NgamoUrchin","after",0.637591742,0.16741157,0.19,4
"23","NgamoUrchin","before",0.5246984285,0.2741146285,0.08305,4
"24","OldGuvalala","after",0.955411353,0.044588647,0,2
"25","OldGuvalala","before",0.867298364,0.132701636,0.000191,5
"26","Raah","after",0.482666954,0.422190558,0.0951,3
"27","Raah","before",0.593965736,0.349763642,0.0563,1
"28","SpiceJunior","after",0.9943315315,0.000350628,0.000138,4
"29","SpiceJunior","before",1,0,0,2
"30","Tommy","after",0.628694266,0.371264077,4.17e-05,5
"31","Tommy","before",0.695665093,0.304334907,0,3
"32","Vanilla","after",0.6603878775,0.2099931505,0.0938,4
"33","Vanilla","before",0.539608356,0.34701302,0.113,1
"34","Vundhla","after",0.93715,0.06285,0,2
"35","Vundhla","before",1,0,0,2
